Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
30.0,565.0,-88,66.6814
46.3679,565.0,-88,66.6814
100.0,565.0,-88,66.6814
215.827,565.0,-88,66.6814
461.538,565.0,-88,66.6814
1000.0,565.0,-88,66.6814
2142.86,565.0,-88,66.6814
5000.0,565.0,-88,66.6814
5000.0,565.0,-88,66.6814
