Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-023,G1X1-1,9740.0,-60,66.1202,2.2279788838613026,4.0
d-022,G1X1-2,6000.0,-51,66.1202,4.094091751622057,4.0
d-021,G3X3S-1,6650.0,-58,66.1202,2.633823340894128,3.9204
d-020,G3X3S-2,3160.0,-50,66.1202,5.711327481661681,3.9204
d-019,G2X2S-1,3060.0,-45,66.1202,5.86717895624275,3.9601
d-018,G2X2S-2,5890.0,-42,66.1202,4.81728316884056,3.9601
d-017,G2X2L-1,6170.0,-48,66.1202,5.63388009049719,4.0
d-016,G2X2L-2,2700.0,-49,66.1202,7.213623725672247,4.0
