,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
20,d-023,G1X1-1,2380.0,-57,66.3152,5.17115384615595,4.0
21,d-022,G1X1-2,17700.0,-63,66.3152,1.253602138043372,4.0
22,d-021,G3X3S-1,14000.0,-71,66.3152,0.7109107256932978,3.9204
23,d-020,G3X3S-2,9940.0,-60,66.3152,2.3531250842190836,3.9204
24,d-019,G2X2S-1,13800.0,-65,66.3152,0.6206500546359713,3.9601
25,d-018,G2X2S-2,7050.0,-62,66.3152,2.227222060852036,3.9601
26,d-017,G2X2L-1,4020.0,-64,66.3152,4.596153846152606,4.0
27,d-016,G2X2L-2,11000.0,-57,66.3152,2.21787054409005,4.0
