,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
20,d-023,G1X1-1,2450.0,-42,66.4125,5.852392120074618,4.0
21,d-022,G1X1-2,1010.0,-92,66.4125,4.093857634901511,4.0
22,d-021,G3X3S-1,13700.0,-68,66.4125,1.0329629097959616,3.9204
23,d-020,G3X3S-2,9200.0,-58,66.4125,1.6690011146774304,3.9204
24,d-019,G2X2S-1,14000.0,-62,66.4125,0.7772799951705078,3.9601
25,d-018,G2X2S-2,5820.0,-53,66.4125,2.760090037660432,3.9601
26,d-017,G2X2L-1,7640.0,-52,66.4125,3.0972439325384156,4.0
27,d-016,G2X2L-2,11400.0,-56,66.4125,1.8667159763315055,4.0
