,Channel Number,Channel Name,Impedance Magnitude at 1 kHz (ohms),Impedance Phase at 1 kHz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees)
20,d-023,G1X1-1,,,66.2422,11.013461538474147,4.0,6860.0,-50.0
21,d-022,G1X1-2,,,66.2422,0.5589330024818394,4.0,18100.0,-63.0
22,d-021,G3X3S-1,,,66.2422,1.192337946980969,3.9204,13100.0,-71.0
23,d-020,G3X3S-2,,,66.2422,1.719121765741637,3.9204,12700.0,-64.0
24,d-019,G2X2S-1,,,66.2422,0.7613011148585115,3.9601,14000.0,-62.0
25,d-018,G2X2S-2,,,66.2422,2.891969568390337,3.9601,7420.0,-58.0
26,d-017,G2X2L-1,,,66.2422,1.2059454489735124,4.0,22000.0,-68.0
27,d-016,G2X2L-2,,,66.2422,2.583579881656955,4.0,10100.0,-53.0
