,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
20,d-023,G1X1-1,7970.0,-63,65.8653,3.0032051282051193,4.0
21,d-022,G1X1-2,11300.0,-58,65.8653,2.3007201961385353,4.0
22,d-021,G3X3S-1,15100.0,-72,65.8653,1.1706835671674796,3.9204
23,d-020,G3X3S-2,13200.0,-69,65.8653,1.4519711489410774,3.9204
24,d-019,G2X2S-1,9840.0,-57,65.8653,1.561492526378528,3.9601
25,d-018,G2X2S-2,7260.0,-65,65.8653,2.89837516170233,3.9601
26,d-017,G2X2L-1,17000.0,-69,65.8653,1.6520126215248638,4.0
27,d-016,G2X2L-2,7570.0,-63,65.8653,2.903048780486957,4.0
