,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
20,d-023,G1X1-1,23600.0,-43,65.8688,2.3522381223539934,4.0
21,d-022,G1X1-2,13000.0,-59,65.8688,2.0365138354078582,4.0
22,d-021,G3X3S-1,14700.0,-71,65.8688,1.118712074423017,3.9204
23,d-020,G3X3S-2,13400.0,-70,65.8688,1.0240360428121131,3.9204
24,d-019,G2X2S-1,10100.0,-57,65.8688,1.41521567748198,3.9601
25,d-018,G2X2S-2,7480.0,-68,65.8688,1.6207826919678703,3.9601
26,d-017,G2X2L-1,17000.0,-69,65.8688,1.407156368222023,4.0
27,d-016,G2X2L-2,9730.0,-63,65.8688,1.6020258367588118,4.0
