Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,417.0,-55,,,23.5826
A-025,IR02,361.0,-47,,,23.5826
A-026,IR03,532.0,-48,,,23.5826
A-027,IR04,335.0,-30,,,23.5826
A-011,IR05,196000.0,-29,,,23.5826
A-023,IR06,429.0,-43,,,23.5826
A-022,IR07,437000.0,-45,,,23.5826
A-021,IR08,334000.0,-42,,,23.5826
A-020,IR09,335.0,-41,,,23.5826
A-004,IR10,510.0,-67,,,23.5826
A-028,PT01,36000.0,-43,,,23.5826
A-029,PT02,494.0,-45,,,23.5826
A-030,PT03,409.0,-35,,,23.5826
A-031,PT04,553.0,-46,,,23.5826
A-015,PT05,1940.0,-43,,,23.5826
A-019,PT06,441.0,-72,,,23.5826
A-018,PT07,759.0,-50,,,23.5826
A-017,PT08,642.0,-67,,,23.5826
A-016,PT09,671.0,-60,,,23.5826
A-000,PT10,688.0,-60,,,23.5826
