Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,489.0,3,251.0733245448638,1.7272,65.5983
a-025,IR02,1180.0,-44,-14.208096399875616,0.8103,65.5983
a-026,IR03,516.0,-113,571.2109672502689,1.1716,65.5983
a-027,IR04,267.0,-43,267.8046097567389,1.2028,65.5983
a-011,IR05,215.0,-44,226.05848783815736,1.4268,65.5983
a-023,IR06,1420.0,-28,387.31541999568617,1.377,65.5983
a-022,IR07,1010.0,-56,0.0,0.594,65.5983
a-021,IR08,84800.0,-35,132.70138640990302,0.8375,65.5983
a-020,IR09,1150.0,-16,127.06489112742696,1.008,65.5983
a-004,IR10,550.0,-52,106.61051053712886,1.2387,65.5983
a-028,PT01,16100.0,-36,25.97296238411253,3.2472,65.5983
a-029,PT02,592.0,-53,29.05184468487908,2.1784,65.5983
a-030,PT03,1440.0,-43,40.32046406789012,2.0868,65.5983
a-031,PT04,665.0,-46,35.997285259520275,2.3458,65.5983
a-015,PT05,2050.0,-43,27.038709498390386,2.0832,65.5983
a-019,PT06,8830.0,-46,38.29076420961695,2.6302,65.5983
a-018,PT07,8680.0,-46,33.142579845879915,2.1168,65.5983
a-017,PT08,9860.0,-47,44.25864302643813,1.7199,65.5983
a-016,PT09,17100.0,-47,85.12897972421345,1.607,65.5983
a-000,PT10,18400.0,-47,28.306098932156765,2.8304,65.5983
