Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,317.0,-15,,1.7272,65.2761
a-025,IR02,335.0,-31,,0.8103,65.2761
a-026,IR03,438.0,-11,,1.1716,65.2761
a-027,IR04,387.0,-32,,1.2028,65.2761
a-011,IR05,57300.0,-23,,1.4268,65.2761
a-023,IR06,290.0,-30,,1.377,65.2761
a-022,IR07,60900.0,-28,,0.594,65.2761
a-021,IR08,430.0,-25,,0.8375,65.2761
a-020,IR09,581.0,-33,,1.008,65.2761
a-004,IR10,681.0,-40,,1.2387,65.2761
a-028,PT01,2830.0,-22,,3.2472,65.2761
a-029,PT02,436.0,-53,,2.1784,65.2761
a-030,PT03,347.0,-42,,2.0868,65.2761
a-031,PT04,548.0,-56,,2.3458,65.2761
a-015,PT05,1670.0,-45,,2.0832,65.2761
a-019,PT06,461.0,-76,,2.6302,65.2761
a-018,PT07,301.0,-68,,2.1168,65.2761
a-017,PT08,599.0,-67,,1.7199,65.2761
a-016,PT09,634.0,-60,,1.607,65.2761
a-000,PT10,38.4,40,,2.8304,65.2761
