Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,296.0,-88,,,65.2
A-025,IR02,388.0,-12,,,65.2
A-026,IR03,427.0,-6,,,65.2
A-027,IR04,389.0,-41,,,65.2
A-011,IR05,199000.0,-28,,,65.2
A-023,IR06,387.0,4,,,65.2
A-022,IR07,177000.0,-29,,,65.2
A-021,IR08,176000.0,-32,,,65.2
A-020,IR09,319.0,-42,,,65.2
A-004,IR10,502.0,-67,,,65.2
A-028,PT01,24900.0,-33,,,65.2
A-029,PT02,5220.0,-33,,,65.2
A-030,PT03,5260.0,-32,,,65.2
A-031,PT04,10100.0,-31,,,65.2
A-015,PT05,11600.0,-32,,,65.2
A-019,PT06,431.0,-74,,,65.2
A-018,PT07,293.0,-67,,,65.2
A-017,PT08,619.0,-68,,,65.2
A-016,PT09,685.0,-60,,,65.2
A-000,PT10,659.0,-60,,,65.2
