Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,456.0,-71,204.0809910739453,1.7272,65.7737
a-025,IR02,487.0,-67,1389.5613210698502,0.8103,65.7737
a-026,IR03,460.0,-61,71.03661294511387,1.1716,65.7737
a-027,IR04,594.0,-35,230.3061504508346,1.2028,65.7737
a-011,IR05,526.0,-39,215.49187055300237,1.4268,65.7737
a-023,IR06,1050.0,-41,84.22391529479981,1.377,65.7737
a-022,IR07,16900.0,-30,0.0,0.594,65.7737
a-021,IR08,1500.0,-38,149.48395269386077,0.8375,65.7737
a-020,IR09,2030.0,-44,176.27134688085246,1.008,65.7737
a-004,IR10,2290.0,-46,126.38382849088012,1.2387,65.7737
a-028,PT01,892.0,-36,29.532213995071757,3.2472,65.7737
a-029,PT02,522.0,-59,30.841266702447506,2.1784,65.7737
a-030,PT03,939.0,-34,41.1646097816293,2.0868,65.7737
a-031,PT04,673.0,-53,34.39607396192079,2.3458,65.7737
a-015,PT05,2000.0,-43,27.582408630800444,2.0832,65.7737
a-019,PT06,446.0,-69,36.49246015287628,2.6302,65.7737
a-018,PT07,476.0,-63,35.28109961933752,2.1168,65.7737
a-017,PT08,825.0,-64,54.69388527337495,1.7199,65.7737
a-016,PT09,844.0,-52,71.22571780135705,1.607,65.7737
a-000,PT10,961.0,-51,28.50201138469878,2.8304,65.7737
