Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,80.4,-38,,,65.4
A-025,IR02,327.0,-24,,,65.4
A-026,IR03,108.0,-27,,,65.4
A-027,IR04,176.0,-41,,,65.4
A-011,IR05,59700.0,-24,,,65.4
A-023,IR06,298.0,-27,,,65.4
A-022,IR07,43700.0,-28,,,65.4
A-021,IR08,391.0,-28,,,65.4
A-020,IR09,584.0,-34,,,65.4
A-004,IR10,675.0,-40,,,65.4
A-028,PT01,2120.0,-22,,,65.4
A-029,PT02,426.0,-51,,,65.4
A-030,PT03,338.0,-44,,,65.4
A-031,PT04,537.0,-56,,,65.4
A-015,PT05,1640.0,-45,,,65.4
A-019,PT06,466.0,-74,,,65.4
A-018,PT07,297.0,-68,,,65.4
A-017,PT08,586.0,-67,,,65.4
A-016,PT09,653.0,-61,,,65.4
A-000,PT10,669.0,-59,,,65.4
