Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,605.0,-35,,,65.3
A-025,IR02,487.0,-48,,,65.3
A-026,IR03,179.0,-29,,,65.3
A-027,IR04,126.0,-18,,,65.3
A-011,IR05,392.0,-47,,,65.3
A-023,IR06,889.0,-39,,,65.3
A-022,IR07,936.0,-40,,,65.3
A-021,IR08,61300.0,-35,,,65.3
A-020,IR09,1690.0,-41,,,65.3
A-004,IR10,1900.0,-44,,,65.3
A-028,PT01,32300.0,-35,,,65.3
A-029,PT02,523.0,-50,,,65.3
A-030,PT03,662.0,-32,,,65.3
A-031,PT04,787.0,-43,,,65.3
A-015,PT05,1280.0,-40,,,65.3
A-019,PT06,337.0,-71,,,65.3
A-018,PT07,263.0,-60,,,65.3
A-017,PT08,736.0,-68,,,65.3
A-016,PT09,683.0,-60,,,65.3
A-000,PT10,762.0,-61,,,65.3
