Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,314.0,-40,,,65.2
A-025,IR02,476.0,-41,,,65.2
A-026,IR03,448.0,-42,,,65.2
A-027,IR04,391.0,-35,,,65.2
A-011,IR05,204000.0,-27,,,65.2
A-023,IR06,395.0,-44,,,65.2
A-022,IR07,164000.0,-27,,,65.2
A-021,IR08,90300.0,-31,,,65.2
A-020,IR09,327.0,-43,,,65.2
A-004,IR10,493.0,-68,,,65.2
A-028,PT01,18100.0,-31,,,65.2
A-029,PT02,500.0,-42,,,65.2
A-030,PT03,397.0,-33,,,65.2
A-031,PT04,555.0,-43,,,65.2
A-015,PT05,1910.0,-42,,,65.2
A-019,PT06,420.0,-73,,,65.2
A-018,PT07,284.0,-67,,,65.2
A-017,PT08,611.0,-67,,,65.2
A-016,PT09,665.0,-61,,,65.2
A-000,PT10,666.0,-60,,,65.2
