Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,461.0,-59,186.49570670187592,1.7272,65.3618
a-025,IR02,553.0,-76,-22.233980417352637,0.8103,65.3618
a-026,IR03,393.0,-38,684.3190950391229,1.1716,65.3618
a-027,IR04,596.0,-38,274.7172133799551,1.2028,65.3618
a-011,IR05,480.0,-35,231.4215781415261,1.4268,65.3618
a-023,IR06,948.0,-40,80.24622486078084,1.377,65.3618
a-022,IR07,1000.0,-41,0.0,0.594,65.3618
a-021,IR08,83500.0,-34,198.57634902415927,0.8375,65.3618
a-020,IR09,1890.0,-43,79.0111797924526,1.008,65.3618
a-004,IR10,2130.0,-45,99.30934014533968,1.2387,65.3618
a-028,PT01,959.0,-32,29.43826160289317,3.2472,65.3618
a-029,PT02,538.0,-60,30.73483714229344,2.1784,65.3618
a-030,PT03,462.0,-38,42.28579643473079,2.0868,65.3618
a-031,PT04,573.0,-45,39.03963915097928,2.3458,65.3618
a-015,PT05,1990.0,-43,27.91894978540369,2.0832,65.3618
a-019,PT06,423.0,-72,38.14843321791955,2.6302,65.3618
a-018,PT07,439.0,-66,32.39000646281382,2.1168,65.3618
a-017,PT08,711.0,-64,56.93533166061829,1.7199,65.3618
a-016,PT09,726.0,-55,102.96539179546508,1.607,65.3618
a-000,PT10,828.0,-55,26.664466839260047,2.8304,65.3618
