Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,227.0,-21,,,65.2
A-025,IR02,143.0,-28,,,65.2
A-026,IR03,353.0,-18,,,65.2
A-027,IR04,447.0,-41,,,65.2
A-011,IR05,204000.0,-28,,,65.2
A-023,IR06,352.0,-25,,,65.2
A-022,IR07,167000.0,-27,,,65.2
A-021,IR08,89800.0,-31,,,65.2
A-020,IR09,339.0,-39,,,65.2
A-004,IR10,492.0,-65,,,65.2
A-028,PT01,17400.0,-31,,,65.2
A-029,PT02,466.0,-44,,,65.2
A-030,PT03,401.0,-36,,,65.2
A-031,PT04,514.0,-44,,,65.2
A-015,PT05,1870.0,-42,,,65.2
A-019,PT06,445.0,-74,,,65.2
A-018,PT07,270.0,-61,,,65.2
A-017,PT08,610.0,-67,,,65.2
A-016,PT09,652.0,-61,,,65.2
A-000,PT10,665.0,-61,,,65.2
