Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,103.0,-61,,,65.2
A-025,IR02,144.0,-19,,,65.2
A-026,IR03,417.0,-39,,,65.2
A-027,IR04,423.0,-46,,,65.2
A-011,IR05,205000.0,-28,,,65.2
A-023,IR06,180.0,-31,,,65.2
A-022,IR07,159000.0,-26,,,65.2
A-021,IR08,623.0,-23,,,65.2
A-020,IR09,317.0,-42,,,65.2
A-004,IR10,486.0,-67,,,65.2
A-028,PT01,16500.0,-30,,,65.2
A-029,PT02,461.0,-43,,,65.2
A-030,PT03,391.0,-34,,,65.2
A-031,PT04,531.0,-44,,,65.2
A-015,PT05,1890.0,-42,,,65.2
A-019,PT06,446.0,-73,,,65.2
A-018,PT07,588.0,-53,,,65.2
A-017,PT08,620.0,-66,,,65.2
A-016,PT09,673.0,-60,,,65.2
A-000,PT10,664.0,-60,,,65.2
