Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,106.0,-58,,,65.2
A-025,IR02,155.0,-28,,,65.2
A-026,IR03,109.0,-14,,,65.2
A-027,IR04,517.0,-30,,,65.2
A-011,IR05,205000.0,-28,,,65.2
A-023,IR06,187.0,-28,,,65.2
A-022,IR07,158000.0,-26,,,65.2
A-021,IR08,29700.0,-23,,,65.2
A-020,IR09,316.0,-38,,,65.2
A-004,IR10,509.0,-66,,,65.2
A-028,PT01,14000.0,-30,,,65.2
A-029,PT02,454.0,-42,,,65.2
A-030,PT03,400.0,-35,,,65.2
A-031,PT04,522.0,-45,,,65.2
A-015,PT05,1890.0,-42,,,65.2
A-019,PT06,473.0,-68,,,65.2
A-018,PT07,817.0,-37,,,65.2
A-017,PT08,657.0,-64,,,65.2
A-016,PT09,780.0,-60,,,65.2
A-000,PT10,721.0,-58,,,65.2
