Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,93.4,-50,,1.7272,65.2598
a-025,IR02,452.0,-36,,0.8103,65.2598
a-026,IR03,255.0,-22,,1.1716,65.2598
a-027,IR04,365.0,-55,,1.2028,65.2598
a-011,IR05,59700.0,-23,,1.4268,65.2598
a-023,IR06,272.0,-27,,1.377,65.2598
a-022,IR07,60800.0,-29,,0.594,65.2598
a-021,IR08,424.0,-26,,0.8375,65.2598
a-020,IR09,577.0,-34,,1.008,65.2598
a-004,IR10,667.0,-40,,1.2387,65.2598
a-028,PT01,3790.0,-22,,3.2472,65.2598
a-029,PT02,431.0,-53,,2.1784,65.2598
a-030,PT03,346.0,-45,,2.0868,65.2598
a-031,PT04,546.0,-56,,2.3458,65.2598
a-015,PT05,1640.0,-45,,2.0832,65.2598
a-019,PT06,466.0,-74,,2.6302,65.2598
a-018,PT07,302.0,-68,,2.1168,65.2598
a-017,PT08,572.0,-68,,1.7199,65.2598
a-016,PT09,630.0,-60,,1.607,65.2598
a-000,PT10,42.9,-35,,2.8304,65.2598
