Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,104.0,-41,,,65.4
A-025,IR02,273.0,-41,,,65.4
A-026,IR03,105.0,-26,,,65.4
A-027,IR04,144.0,-33,,,65.4
A-011,IR05,518.0,-58,,,65.4
A-023,IR06,306.0,-26,,,65.4
A-022,IR07,88900.0,-30,,,65.4
A-021,IR08,395.0,-29,,,65.4
A-020,IR09,568.0,-33,,,65.4
A-004,IR10,660.0,-39,,,65.4
A-028,PT01,1530.0,-22,,,65.4
A-029,PT02,505.0,-37,,,65.4
A-030,PT03,540.0,-34,,,65.4
A-031,PT04,809.0,-29,,,65.4
A-015,PT05,2030.0,-38,,,65.4
A-019,PT06,402.0,-58,,,65.4
A-018,PT07,488.0,-43,,,65.4
A-017,PT08,570.0,-64,,,65.4
A-016,PT09,627.0,-60,,,65.4
A-000,PT10,143.0,-120,,,65.4
