Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,185.0,-15,,,65.4
A-025,IR02,291.0,-43,,,65.4
A-026,IR03,98.1,-20,,,65.4
A-027,IR04,160.0,-37,,,65.4
A-011,IR05,56400.0,-23,,,65.4
A-023,IR06,276.0,-28,,,65.4
A-022,IR07,60700.0,-27,,,65.4
A-021,IR08,38700.0,-26,,,65.4
A-020,IR09,554.0,-32,,,65.4
A-004,IR10,655.0,-40,,,65.4
A-028,PT01,223.0,-132,,,65.4
A-029,PT02,312.0,-50,,,65.4
A-030,PT03,335.0,-40,,,65.4
A-031,PT04,389.0,-40,,,65.4
A-015,PT05,1640.0,-43,,,65.4
A-019,PT06,452.0,-75,,,65.4
A-018,PT07,612.0,-70,,,65.4
A-017,PT08,539.0,-66,,,65.4
A-016,PT09,535.0,-57,,,65.4
A-000,PT10,684.0,-59,,,65.4
