Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,107.0,-42,,,65.4
A-025,IR02,349.0,-44,,,65.4
A-026,IR03,503.0,-49,,,65.4
A-027,IR04,176.0,-45,,,65.4
A-011,IR05,56200.0,-22,,,65.4
A-023,IR06,589.0,-39,,,65.4
A-022,IR07,56900.0,-28,,,65.4
A-021,IR08,404.0,-26,,,65.4
A-020,IR09,574.0,-34,,,65.4
A-004,IR10,682.0,-39,,,65.4
A-028,PT01,2110.0,-22,,,65.4
A-029,PT02,440.0,-52,,,65.4
A-030,PT03,327.0,-43,,,65.4
A-031,PT04,534.0,-56,,,65.4
A-015,PT05,1660.0,-45,,,65.4
A-019,PT06,454.0,-74,,,65.4
A-018,PT07,302.0,-68,,,65.4
A-017,PT08,589.0,-67,,,65.4
A-016,PT09,624.0,-61,,,65.4
A-000,PT10,72.7,119,,,65.4
