Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,333.0,-17,,1.7272,65.2728
a-025,IR02,270.0,-46,,0.8103,65.2728
a-026,IR03,102.0,-34,,1.1716,65.2728
a-027,IR04,457.0,-27,,1.2028,65.2728
a-011,IR05,57000.0,-23,,1.4268,65.2728
a-023,IR06,302.0,-29,,1.377,65.2728
a-022,IR07,58900.0,-28,,0.594,65.2728
a-021,IR08,413.0,-28,,0.8375,65.2728
a-020,IR09,568.0,-33,,1.008,65.2728
a-004,IR10,672.0,-39,,1.2387,65.2728
a-028,PT01,2500.0,-22,,3.2472,65.2728
a-029,PT02,446.0,-53,,2.1784,65.2728
a-030,PT03,343.0,-43,,2.0868,65.2728
a-031,PT04,545.0,-56,,2.3458,65.2728
a-015,PT05,1660.0,-44,,2.0832,65.2728
a-019,PT06,470.0,-75,,2.6302,65.2728
a-018,PT07,301.0,-71,,2.1168,65.2728
a-017,PT08,584.0,-66,,1.7199,65.2728
a-016,PT09,635.0,-60,,1.607,65.2728
a-000,PT10,61.2,-162,,2.8304,65.2728
