Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,112.0,-50,,,65.2
A-025,IR02,366.0,-17,,,65.2
A-026,IR03,354.0,-41,,,65.2
A-027,IR04,161.0,-39,,,65.2
A-011,IR05,199000.0,-28,,,65.2
A-023,IR06,390.0,-28,,,65.2
A-022,IR07,172000.0,-29,,,65.2
A-021,IR08,293.0,-29,,,65.2
A-020,IR09,342.0,-41,,,65.2
A-004,IR10,507.0,-66,,,65.2
A-028,PT01,25500.0,-33,,,65.2
A-029,PT02,5450.0,-32,,,65.2
A-030,PT03,5300.0,-30,,,65.2
A-031,PT04,10300.0,-31,,,65.2
A-015,PT05,11700.0,-32,,,65.2
A-019,PT06,438.0,-74,,,65.2
A-018,PT07,298.0,-69,,,65.2
A-017,PT08,612.0,-67,,,65.2
A-016,PT09,682.0,-62,,,65.2
A-000,PT10,665.0,-60,,,65.2
