Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,351.0,-59,,,65.3
A-025,IR02,301.0,-26,,,65.3
A-026,IR03,422.0,-27,,,65.3
A-027,IR04,312.0,-33,,,65.3
A-011,IR05,508.0,-58,,,65.3
A-023,IR06,294.0,-31,,,65.3
A-022,IR07,87900.0,-30,,,65.3
A-021,IR08,397.0,-27,,,65.3
A-020,IR09,571.0,-34,,,65.3
A-004,IR10,655.0,-40,,,65.3
A-028,PT01,1690.0,-22,,,65.3
A-029,PT02,545.0,-36,,,65.3
A-030,PT03,546.0,-32,,,65.3
A-031,PT04,807.0,-30,,,65.3
A-015,PT05,2020.0,-38,,,65.3
A-019,PT06,195.0,-53,,,65.3
A-018,PT07,253.0,-58,,,65.3
A-017,PT08,582.0,-62,,,65.3
A-016,PT09,619.0,-60,,,65.3
A-000,PT10,303.0,-140,,,65.3
