Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,686.0,-43,,,65.4
A-025,IR02,338.0,-37,,,65.4
A-026,IR03,545.0,-26,,,65.4
A-027,IR04,886.0,-43,,,65.4
A-011,IR05,52600.0,-23,,,65.4
A-023,IR06,552.0,-19,,,65.4
A-022,IR07,44300.0,-26,,,65.4
A-021,IR08,40400.0,-26,,,65.4
A-020,IR09,569.0,-33,,,65.4
A-004,IR10,671.0,-40,,,65.4
A-028,PT01,3180.0,-22,,,65.4
A-029,PT02,297.0,-50,,,65.4
A-030,PT03,944.0,-38,,,65.4
A-031,PT04,477.0,-48,,,65.4
A-015,PT05,1640.0,-44,,,65.4
A-019,PT06,439.0,-70,,,65.4
A-018,PT07,822.0,-42,,,65.4
A-017,PT08,1300.0,-57,,,65.4
A-016,PT09,635.0,-59,,,65.4
A-000,PT10,687.0,-59,,,65.4
