Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,516.0,60,,,65.3
A-025,IR02,424.0,63,,,65.3
A-026,IR03,788.0,83,,,65.3
A-027,IR04,568.0,50,,,65.3
A-011,IR05,1370.0,-40,,,65.3
A-023,IR06,854.0,-39,,,65.3
A-022,IR07,927.0,-40,,,65.3
A-021,IR08,1230.0,-36,,,65.3
A-020,IR09,1690.0,-40,,,65.3
A-004,IR10,1890.0,-43,,,65.3
A-028,PT01,21400.0,-34,,,65.3
A-029,PT02,497.0,-50,,,65.3
A-030,PT03,623.0,-31,,,65.3
A-031,PT04,764.0,-42,,,65.3
A-015,PT05,1220.0,-39,,,65.3
A-019,PT06,409.0,-79,,,65.3
A-018,PT07,806.0,-61,,,65.3
A-017,PT08,804.0,-71,,,65.3
A-016,PT09,694.0,-63,,,65.3
A-000,PT10,705.0,-59,,,65.3
