Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,256.0,-33,106.98156251653543,1.7272,65.4453
a-025,IR02,243.0,-17,331.3112902153583,0.8103,65.4453
a-026,IR03,332.0,-27,121.90211063546592,1.1716,65.4453
a-027,IR04,156.0,-40,440.9582768417473,1.2028,65.4453
a-011,IR05,57000.0,-23,63.73018822412066,1.4268,65.4453
a-023,IR06,292.0,-30,385.1740126239813,1.377,65.4453
a-022,IR07,61000.0,-27,14.2575620537309,0.594,65.4453
a-021,IR08,38600.0,-26,651.205510904402,0.8375,65.4453
a-020,IR09,554.0,-33,205.15364265360412,1.008,65.4453
a-004,IR10,661.0,-40,187.85202849162877,1.2387,65.4453
a-028,PT01,1380.0,-23,30.33024516290797,3.2472,65.4453
a-029,PT02,314.0,-48,41.13816774485674,2.1784,65.4453
a-030,PT03,345.0,-39,107.9127408911758,2.0868,65.4453
a-031,PT04,388.0,-41,42.6567066945589,2.3458,65.4453
a-015,PT05,1650.0,-44,25.217438091867013,2.0832,65.4453
a-019,PT06,443.0,-74,70.40997174835888,2.6302,65.4453
a-018,PT07,320.0,-68,34.907552764698416,2.1168,65.4453
a-017,PT08,526.0,-66,7.745612141220898,1.7199,65.4453
a-016,PT09,551.0,-60,138.57642046779787,1.607,65.4453
a-000,PT10,670.0,-59,19.932267380154126,2.8304,65.4453
