Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,94.5,-23,,,65.2
A-025,IR02,174.0,-12,,,65.2
A-026,IR03,112.0,-1,,,65.2
A-027,IR04,364.0,-48,,,65.2
A-011,IR05,204000.0,-28,,,65.2
A-023,IR06,1970.0,-36,,,65.2
A-022,IR07,540000.0,-51,,,65.2
A-021,IR08,344000.0,-46,,,65.2
A-020,IR09,1000.0,-45,,,65.2
A-004,IR10,1280.0,-60,,,65.2
A-028,PT01,34900.0,-43,,,65.2
A-029,PT02,400.0,-49,,,65.2
A-030,PT03,333.0,-41,,,65.2
A-031,PT04,423.0,-60,,,65.2
A-015,PT05,1790.0,-45,,,65.2
A-019,PT06,409.0,-69,,,65.2
A-018,PT07,451.0,-48,,,65.2
A-017,PT08,611.0,-64,,,65.2
A-016,PT09,698.0,-58,,,65.2
A-000,PT10,696.0,-58,,,65.2
