Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,572.0,-35,,1.7272,65.2542
a-025,IR02,428.0,-28,,0.8103,65.2542
a-026,IR03,305.0,-36,,1.1716,65.2542
a-027,IR04,465.0,-40,,1.2028,65.2542
a-011,IR05,56300.0,-22,,1.4268,65.2542
a-023,IR06,822.0,-40,,1.377,65.2542
a-022,IR07,58600.0,-28,,0.594,65.2542
a-021,IR08,417.0,-28,,0.8375,65.2542
a-020,IR09,570.0,-33,,1.008,65.2542
a-004,IR10,680.0,-39,,1.2387,65.2542
a-028,PT01,2560.0,-22,,3.2472,65.2542
a-029,PT02,444.0,-54,,2.1784,65.2542
a-030,PT03,354.0,-44,,2.0868,65.2542
a-031,PT04,563.0,-55,,2.3458,65.2542
a-015,PT05,1670.0,-45,,2.0832,65.2542
a-019,PT06,918.0,-59,,2.6302,65.2542
a-018,PT07,760.0,-56,,2.1168,65.2542
a-017,PT08,608.0,-66,,1.7199,65.2542
a-016,PT09,639.0,-60,,1.607,65.2542
a-000,PT10,152.0,28,,2.8304,65.2542
