Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,89.2,-45,,,65.2
A-025,IR02,521.0,-50,,,65.2
A-026,IR03,101.0,-25,,,65.2
A-027,IR04,403.0,-27,,,65.2
A-011,IR05,203000.0,-27,,,65.2
A-023,IR06,442.0,-29,,,65.2
A-022,IR07,168000.0,-28,,,65.2
A-021,IR08,94000.0,-31,,,65.2
A-020,IR09,327.0,-41,,,65.2
A-004,IR10,504.0,-67,,,65.2
A-028,PT01,22400.0,-31,,,65.2
A-029,PT02,5310.0,-32,,,65.2
A-030,PT03,5360.0,-30,,,65.2
A-031,PT04,10300.0,-31,,,65.2
A-015,PT05,11700.0,-32,,,65.2
A-019,PT06,449.0,-73,,,65.2
A-018,PT07,280.0,-64,,,65.2
A-017,PT08,621.0,-67,,,65.2
A-016,PT09,649.0,-60,,,65.2
A-000,PT10,664.0,-60,,,65.2
