Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
30.0,71400.0,-69,65.6734
46.3679,71400.0,-69,65.6734
100.0,71400.0,-69,65.6734
215.827,71400.0,-69,65.6734
461.538,71400.0,-69,65.6734
1000.0,71400.0,-69,65.6734
2142.86,71400.0,-69,65.6734
5000.0,71400.0,-69,65.6734
5000.0,71400.0,-69,65.6734
